127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 200, 0.000418
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/share.js, HTTP/1.1, 200, 0.000342
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 200, 0.000395
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 200, 0.000294
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/images/favicon.ico, HTTP/1.1, 200, 0.000522
127.0.0.1, 2016-08-31 18:35:02, POST, /CalenZone/default/user/login, HTTP/1.1, 303, 0.045635
127.0.0.1, 2016-08-31 18:35:02, GET, /CalenZone/default/user/login, HTTP/1.1, 200, 0.026406
127.0.0.1, 2016-08-31 18:35:09, POST, /CalenZone/default/user/login, HTTP/1.1, 303, 0.047356
127.0.0.1, 2016-08-31 18:35:09, GET, /CalenZone/default/user/login, HTTP/1.1, 200, 0.028943
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.040211
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/css/bootstrap-tokenfield.min.css, HTTP/1.1, 304, 0.001086
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css, HTTP/1.1, 304, 0.000576
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/static/bower_components/jquery-ui/jquery-ui.min.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/bootstrap-tokenfield.min.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-08-31 18:35:17, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-08-31 18:38:28, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.026311
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000388
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000320
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 304, 0.000304
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css, HTTP/1.1, 304, 0.000314
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/css/bootstrap-tokenfield.min.css, HTTP/1.1, 304, 0.000355
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/list.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/bootstrap-tokenfield.min.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/moment/moment.js, HTTP/1.1, 304, 0.000294
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/underscore/underscore-min.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/jquery-ui/jquery-ui.min.js, HTTP/1.1, 304, 0.002453
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000341
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/js/share.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png, HTTP/1.1, 304, 0.000353
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 304, 0.000314
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 304, 0.001042
127.0.0.1, 2016-08-31 18:38:29, GET, /CalenZone/static/images/favicon.ico, HTTP/1.1, 200, 0.000423
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.030500
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000372
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000219
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 304, 0.000316
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000368
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 304, 0.000416
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 304, 0.000637
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/css/bootstrap-tokenfield.min.css, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/jquery-ui/jquery-ui.min.js, HTTP/1.1, 304, 0.000708
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/moment/moment.js, HTTP/1.1, 304, 0.000348
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/bootstrap-tokenfield.min.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/underscore/underscore-min.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/list.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css, HTTP/1.1, 304, 0.000301
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/share.js, HTTP/1.1, 304, 0.000505
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000228
127.0.0.1, 2016-08-31 18:41:01, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2016-08-31 18:41:02, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 304, 0.000936
127.0.0.1, 2016-08-31 18:41:02, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 304, 0.000242
127.0.0.1, 2016-08-31 18:41:02, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 304, 0.000707
127.0.0.1, 2016-08-31 18:41:02, GET, /CalenZone/static/images/favicon.ico, HTTP/1.1, 200, 0.000371
127.0.0.1, 2016-08-31 18:42:58, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.034208
127.0.0.1, 2016-08-31 18:42:58, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000352
